osm_id,name,shop_type,lat,lon,distance_m
node/3069686633,Wrapco,copyshop,22.5573809,88.3806076,602.0
node/9462559618,Bata,shoes,22.5723031,88.3896179,1494.4
node/9462532669,Realme Brand Store,mobile_phone,22.5743785,88.3895178,1717.1
node/10091492317,Haldiram's Prabhuji Factory Outlet,confectionery,22.5671227,88.3714662,1738.8
node/7029161685,Sealdah Flower Market,supermarket,22.5654385,88.3704192,1751.0
way/191117573,Pantaloons,mall,22.5750724,88.3893576,1789.6
node/9462555717,More,supermarket,22.5751437,88.3892608,1795.5
node/9462559617,Khadims,shoes,22.5752378,88.3894633,1809.7
node/2461251720,More,supermarket,22.5495698,88.4006654,1843.1
node/2461251717,Spring Hyundai Showroom,car,22.5489237,88.4002327,1851.0
way/205090785,Reliance Smart Bazaar,supermarket,22.5659542,88.3694547,1864.7
node/2461251714,OSL Prestige,car,22.548984,88.4004558,1864.9
node/7034938385,Sealdah Market,supermarket,22.56678,88.3693085,1916.7
node/9462536717,Haryana Sweets,confectionery,22.5760925,88.390206,1918.3
node/2323745155,Railway Reservation Counter,ticket,22.5688391,88.3705185,1922.4
node/9462516918,iTech® - Apple Authorised Store™,computer,22.5766123,88.3901923,1974.5
